"Industry","State Total","Federal Total","Combined Total"
"Pharmaceuticals/Health Products","$295505810","$3007332298","$3302838108"
"Insurance","$498426829","$1511984588","$2010411417"
"Electronics Mfg & Equip","$153560827","$1666457084","$1820017911"
"Civil Servants/Public Officials","$735920220","$927646344","$1663566564"
"Hospitals/Nursing Homes","$510873598","$1084534543","$1595408141"
"Oil & Gas","$350488720","$1202869210","$1553357930"
"Electric Utilities","$348608906","$1141808725","$1490417631"
"Business Associations","$175761056","$1248975845","$1424736901"
"Real Estate","$262478603","$1047877953","$1310356556"
"Telecom Services","$273457591","$978355094","$1251812685"
"Health Services/HMOs","$260084426","$972314058","$1232398484"
"Securities & Investment","$94039738","$1113748997","$1207788735"
"Health Professionals","$281328585","$868330159","$1149658744"
"Education","$336599388","$768607221","$1105206609"
"Misc Manufacturing & Distributing","$99762938","$1003741083","$1103504021"
"Air Transport","$64217220","$1016956974","$1081174194"
"Automotive","$159620034","$693705940","$853325974"
"Internet","$71544777","$734079423","$805624200"
"Misc Issues","$241758227","$497860705","$739618932"
"TV/Movies/Music","$57777574","$628301447","$686079021"
