"Year","Federal Total","State Total","Combined Total"
"2024","$2208977842","$0","$2208977842"
"2023","$4266595094","$1410862320","$5677457414"
"2022","$4106407514","$1800672453","$5907079967"
"2021","$3777642052","$1741048743","$5518690795"
"2020","$3531005286","$1605632998","$5136638284"
"2019","$3510886176","$1528539282","$5039425458"
"2018","$3460154937","$1541885595","$5002040532"
"2017","$3375773530","$1509805106","$4885578636"
"2016","$3158652151","$1395066347","$4553718498"
"2015","$3230581761","$1372822804","$4603404565"
